Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
Music Business  Specialization	4.8	Beginner level	Flexible schedule	How to navigate the music business as an independent artist, including how to network, leverage social media, and launch a crowdfunding campaign. Discuss how the music business functions, including the various roles within the business, contract agreements, and how artists make money. Discuss the exclusive rights granted by copyright law and explain how to leverage those rights as a creator. Leverage skills used in musicianship to become a more effective entrepreneur.	Music, Copyright, Business, Social Media, Entrepreneurship	Music Business Foundations, Building Your Career in Music: Developing A Brand and Funding Your Music, Copyright Law in the Music Business, Creativity And Entrepreneurship 	Dr. E. Michael Harrington, Leah Waldo, John P. Kellogg, Esq., Panos Panay	Berklee	Business	https://www.coursera.org/specializations/music-business	40.0	Music,Ethics & Law,Social Media	1427.0
Mastering Excel Essentials to Enhance Business Value	4.2	Beginner level	Flexible schedule	"Effectively input data and efficiently navigate large spreadsheets.Employ various ""hacks"" and expertly apply (the most appropriate) built-in functions in Excel to increase productivity and streamline workflow.Apply the ""what-if"" analysis tools in Excel to conduct break-even analysis, conduct sensitivity analysis and support decision-making."	Analytics, Microsoft Excel, Decision Model, Spreadsheet modeling, Advanced Excel Functionality	Module 1: Excel Foundations, Module 2: Essential Excel Tools for Professional Success, Module 3: Presenting Information in Excel , Summative Course Assessment 	Liz Durango-Cohen	Illinois Tech	Business	https://www.coursera.org/learn/illinois-tech-mastering-excel-essentials-to-enhance-business-value	82.0	Microsoft Tools,Business,Technology	10.0
European Business Law: Understanding the Fundamentals	4.8	Beginner level	Flexible schedule	Navigate EU legal sources, understand relevant laws and regulations and apply the fundamental principles of EU law within the EU legal framework.Utilize the rules of freedom of movement and their impacts on trade in the EU.Understand how individuals and companies are able to enforce their EU rights on national level and how an individual can challenge EU legislation.Understand EU policies and their influence on foreign trade and investment.	Foreign Policy, Law, Legal Research, Business Law	Introduction to EU law, Sources and Method, Fundamental Principles, Enforcement of EU Law and Judicial Review, The Economic Freedoms, The External Dimension	Eduardo Gill Pedro, Angelica Ericsson, Hans Henrik Lidgard, Xavier Groussot, Annegret Engel, Julian Nowag, Anna Wiberg, Magnus Schmauch	Lund University	Business	https://www.coursera.org/learn/european-law-fundamentals	13.0	Business,Ethics & Law,International Relations	1256.0
Advanced Business Strategy	4.8	Beginner level	Flexible schedule	  The dynamics of competition, the competitive life cycle, and strategies to survive and thrive through industry disruption    Internationalization strategies, how, where, and when to enter foreign markets, and foreign direct investment    How businesses compete across industries, the value of being in different markets, and the right degree of diversification    Stakeholder management and how engaging with non-capital stakeholders can create value  	Strategic Management, Strategic Thinking, business competition, Business Strategy	Dynamic Strategy, International Strategy, Diversification Strategy, Stakeholder Strategy	Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-advanced-business-strategy	10.0	Business,Operation & Strategy,Management & Leadership	1058.0
Success with Integrity: Business Ethics Foundation	0.0	Beginner level	Flexible schedule	Apply ethics to global business, and assess decisions' impact on operations and stakeholders in real-world scenarios.Utilize ethical frameworks in complex business scenarios to inform decisions, weighing pros and cons, and fostering ethical awareness.Analyze and apply ethical dilemmas in current business settings, using theories and frameworks to develop ethical decision-making strategies.Create and execute workplace strategies for sustaining an ethical culture, showcasing the practical application of ethical principles.	Evaluation, Business Ethics, strategic decision-making, Corporate Social Responsibility, Team Leadership	Success with Integrity: Foundational Business and Corporate Ethics  	"""Kelley OConnell"""	Coursera Instructor Network	Business	https://www.coursera.org/learn/success-with-integrity-business-ethics-foundation	3.0	Business,Ethics & Law	0.0
Copyright Law in the Music Business	4.8	Beginner level	Flexible schedule	Explain the six exclusive rights of copyright lawDescribe the concept of Fair Use and know when it applies and when it doesn'tDescribe the various aspects involved in a copyright lawsuitDifferentiate between the composition copyright and the sound recording copyright	Create music legally, Write a co-writing agreement, Read Legal Documents, Leverage the copyright law to your advantage	Welcome to Copyright Law in the Music Industry!, Copyright and Intellectual Property, Copyright In Practice, Sound Recording and Sampling, Copyright Litigation	Dr. E. Michael Harrington	Berklee	Business	https://www.coursera.org/learn/copyright-law-music-business	9.0	Music,Ethics & Law	646.0
Advanced Business Analysis: Elicitation & Analysis	0.0	Intermediate level	Flexible schedule	Acquire expertise in advanced elicitation techniques, including interviews and focus groups. Master complex methods like user stories, use cases, and financial analysis. Enhance communication skills vital for collaboration with stakeholders and teams. Develop the ability to recommend optimal solutions based on rigorous analysis.  	Decision-Making, Communication, analysis, Collaboration, Elicitation	Elicitation and Collaboration, Requirements Analysis and Design Definition, Final Assessment	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/advanced-business-analysis-elicitation-analysis	7.0	Business,Communication	0.0
Machine Learning Algorithms with R in Business Analytics	4.7	Intermediate level	Flexible schedule	Conceptual framework of ML algorithms. Conceptual foundation for interpreting ML results. Practice applying ML algorithms to business data.	prediction, regression, R Programming, classification, clustering	Course Orientation and Module 1: Regression Algorithm for Testing and Predicting Business Data, Module 2: Framework for Machine Learning and Logistic Regression, Module 3: Classification Algorithms, Module 4: Clustering Algorithms	Ronald Guymon, Gies College of Business, University of Illinois	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/learn/machine-learning-algorithms-r-business-analytics	14.0	Business,Data Analytics,Data Science,Programming	27.0
Introduction to Business Analytics with R	4.6	Beginner level	Flexible schedule	You will learn how to process data using R and RStudio. You will also explore the interaction between business principles and data analytics.	Business Analytics, R Programming, Rstudio	Course Overview and Module 1: How Do I Get Started Using a Data Analytic Language to Solve Business Problem?, Module 2: How Do I Get to Know My Data and Share It With Others?, Module 3: How Can I Use Functions to Help with Data Preparation?, Module 4: How Do I Preprocess Data?	Ashish Khandelwal, Ronald Guymon	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/learn/business-analytics-r	16.0	Programming,Data Analytics,Data Science,Business	207.0
Agile Organisation: Strategies for Business Resilience	0.0	Intermediate level	Flexible schedule	Strategic Resilience: Explore the concepts and frameworks needed to ensure your organisation can adapt to a shifting business context. Operational Resilience: Increase your awareness of the potential sources of risk in your supply chains and how you manage finance and information. Behavioural Resilience: Learn about team dynamics and how your role affects the people you manage. 	Not specified	Week 1: The Need for Strategic Resilience, Week 2: Techniques for Building Strategic Resilience, Week 3: Operational Resilience - Tools and Practices, Week 4: Operational Resilience - Creating a Resilient Organisation, Week 5: A Resilient and Agile Environment, Week 6: Behavioural Resilience and Agility – Your Role	Julian Birkinshaw, David Lewis	London Business School	Business	https://www.coursera.org/learn/agile-organisation-strategies-for-business-resilience	24.0	Agile & Scrum,Human Resources,Operation & Strategy	0.0
Blockchain and Business	4.7	Not specified	Flexible schedule	Explain how blockchain technology will transform business structures, roles, and functions. Describe seven new blockchain business models. Identify some strategic approaches to managing intellectual property with blockchain technologiesIdentify the layers comprising the blockchain technology stack, and describe how each of these affects the governance of a blockchain ecosystem.	Not specified	Decentralizing the Enterprise, Blockchain Business Models, Blockchain and the C-Suite, Blockchain Consortia, Leadership for the Web3 Era, Blueprint for a New Social Contract	Alex Tapscott, Don Tapscott	INSEAD	Business	https://www.coursera.org/learn/blockchain-business	28.0	Business,Blockchain	405.0
European Business Law: Competing in Europe	4.8	Beginner level	Flexible schedule	Find and understand relevant laws and regulations governing the internal European Union market. Protect and defend a company’s products, brands and inventions by obtaining and licensing trademarks and patents. Create a competitive edge for a company and apply the basic principles of EU competition law. Construct and present a persuasive legal argument.	Not specified	Trademarks as Essential Assets, Defending Patents, Competition: Illegal Cooperation, Competition: Abuse of Dominance and Mergers , Selling to the State and State Aid, Legal Writing and Argumentation (optional)	Justin Pierce, Hans Henrik Lidgard, Jörgen Hettne, Ulf Maunsbach, Xavier Groussot, Julian Nowag, Magnus Schmauch	Lund University	Business	https://www.coursera.org/learn/eu-competition-law	15.0	Business,Ethics & Law,International Relations	280.0
GetVirtual: How to Launch Your Online Business	0.0	Beginner level	Flexible schedule	Tell a business story, create a personal brand and identify marketing channels.Write a Business Proposal that includes scope of work and schedule of tasks.Design a customer-ready website.	Social Media Marketing, Website Wireframe, basic website development, Business Process, Business Strategy	⭐️⭐️⭐️⭐️⭐️ Getting to Know Yourself as a Business Partner, ⭐️⭐️⭐️⭐️⭐️ Professional Profiles, ⭐️⭐️⭐️⭐️⭐️ So, you Wanna Talk Business?, ⭐️⭐️⭐️⭐️⭐️ Project Management and Close Out 	Nada Miljkovic	University of California, Santa Cruz	Business	https://www.coursera.org/learn/getvirtual	12.0	Business,Ecommerce,Marketing	0.0
Why Business? What is the Role of Business in a Just and Humane Society	4.9	Beginner level	Flexible schedule	Identify the main elements of a market economy. Explain how a market economy is supposed to work. Evaluate the strongest arguments for supporting a market economy. Evaluate the objections to the role of business in a market economy. Reflect on the role of business in a just and humane society. Create a personal vision statement for an honorable professional life.	Not specified	Justice in a Commercial Society? Value – Broken Windows and Prices, Objections to Markets, Why Business? 	James Otteson	The University of Notre Dame	Business	https://www.coursera.org/learn/why-business	22.0	Business,Ethics & Law,Economics	12.0
Tools for Exploratory Data Analysis in Business	4.8	Beginner level	Flexible schedule	"Development of an analytic mindset for approaching business problems.The ability to appraise the value of datasets for
addressing business problems using summary statistics and data visualizations.Competence in operating business analytic software applications for exploratory data analysis."	Analytic Mindset, Data Cleansing and Exploration, Alteryx, R and RStudio, PowerBI	Course Orientation and Module 1: Analytics Mindset, Module 2: ETL and EDA  Using PowerBI, Module 3: ETL and EDA Using RStudio, Module 4: ETL and EDA Using Alteryx	Ronald Guymon, Gies College of Business, University of Illinois	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/learn/tools-exploratory-data-analysis-business	18.0	Data Analytics,Business,Technology	35.0
International Business and Culture	4.7	Beginner level	Flexible schedule	Interpret how a nation’s culture is formed from its history, language, and societal norms. Evaluate the characteristics of a nation’s culture using Hofstede’s Cultural Dimensions analysis. Apply and adapt standard marketing perspectives to international business-to-customer (B2C) markets and consumers. Comprehend and deploy techniques for successful business-to-business (B2B) marketing.	Global Marketing, International cultures, International human resources	Managing Culture, Managing Human Resources, Global Marketing, B2B Marketing, Managing Cultures: HRM and Marketing	Stephen R. Lawrence	University of Colorado Boulder	Business	https://www.coursera.org/learn/international-business-culture	12.0	International Relations,Marketing,Business	83.0
Business Analysis Mastery: Planning, Skills, and Perspective	0.0	Intermediate level	Flexible schedule	How to develop a comprehensive business analysis plan, including stakeholder engagement and governance strategies.The importance of soft skills such as adaptability and behavioral characteristics in business analysis, with real-world applications. Techniques for identifying performance improvements and effectively managing information to enhance business analysis outcomes.	Observation, Adaptability, governance, Planning, engagement	Business Analysis Planning and Monitoring, Soft and Hard Skills for a Business Analyst, Business Analyst Perspectives, Final Assessment	Igor Arkhipov	Starweaver	Business	https://www.coursera.org/learn/business-analysis-mastery-planning-skills-and-perspective	5.0	Business,Soft Skills,Management & Leadership	0.0
Infonomics I: Business Information Economics and Data Monetization	4.6	Beginner level	Flexible schedule	Appreciate the unique economic, accounting, and legal characteristics of information.Understand and apply methods for conceiving and generating broad-based and transformative business benefits from available information assets.Identify and adapt traditional asset management principles and practices toward the improved management of information assets.Measure information’s various value characteristics to help justify or prove information-related expenditures.	Accounting, Big Data, Data Analysis, strategy, Innovation	Course Orientation, Module 1: What is Information?, Module 2 The Economics of Information, Module 3 Methods for Monetizing Information, Module 4 Applied Analytics	Douglas B. Laney	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/learn/infonomics-1	13.0	Accounting & Finance,Big Data,Business	93.0
Business Strategy in Practice (Project-centered Course)	4.7	Not specified	Flexible schedule	Employ your toolkit to develop your comprehensive Strategic Analysis. Build a well-supported case recommending a specific strategic path. Effectively and efficiently communicate key points with executive leadership. Identify strategic paths the organization might pursue. 	Strategic Analysis, Strategic Management, Business Strategy, Competitiveness	Welcome and Getting Started, WIP Milestone 1, WIP Milestone 1 Peer Reviews, Start WIP Milestone 2, WIP Milestone 2, WIP Milestone 2 Peer Reviews, Start WIP Milestone 3, WIP Milestone 3, From WIP Milestone 3 to the Final Milestone, Finished Project Peer Reviews	Jared Harris, Michael Lenox	University of Virginia	Business	https://www.coursera.org/learn/uva-darden-business-strategy-capstone	11.0	Business,Operation & Strategy,Management & Leadership	172.0
Real-World Cloud PM 1 of 3: Cloud Business and Technology	4.6	Beginner level	Flexible schedule	"Explain why cloud is the greatest ""gold rush"" since the invention of the client server model, and how it can accelerate your career. Explain ""cloud velocity"" by comparing cloud vs. non-cloud businesses, technical architecture diagrams, and financial and operational impact. Understand the purpose of the AWS Certified Cloud Practitioner Exam, determine if it is right for you, and let AWIT help you prepare. Understand the most popular technologies today, including containerization, serverless, AI/ML, and blockchain, and how to manage those business."	Technology Strategy, Business, Product Management, Cloud Computing, Amazon Web Services (Amazon AWS)	What the Cloud Can Do for You, Foundational Cloud Concepts, The AWS Storage Portfolio	Gordon Yu, Nancy Wang	Advancing Women in Tech	Business	https://www.coursera.org/learn/real-world-cloud-pm-1	5.0	Cloud Technology,Business,Technology	46.0
Create Social Media ads with Canva to promote your business	0.0	Beginner level	Hands-on learning	Add and edit videos for social media posts with Canva.	Social Media Marketing, Marketing Strategy, Graphic Design	Learn step-by-step	Michelle Flores	Coursera Project Network	Business	https://www.coursera.org/projects/create-social-media-ads-canva-promote-business	2.0	Social Media,Marketing,Design	0.0
Infonomics II: Business Information Management and Measurement	4.6	Beginner level	Flexible schedule	Identify and adapt traditional asset management principles and practices toward the improved management of information assets. Measure information’s various value characteristics to help justify or prove information-related expenditures. Articulate the challenges, pitfalls, and paradoxes regarding information’s role as a something owned and controlled. Lay out new and emerging organizational roles for treating information as an actual business asset. 	Accounting, Big Data, Data Analysis, strategy, Innovation	Course Orientation, Module 1 Managing Information as an Asset, Module 2: Measuring and Accounting for Information, Module 3 Privacy, Rights, Ownership, and Sovereignty, Module 4 Roles and Organization Structure	Douglas B. Laney	University of Illinois at Urbana-Champaign	Business	https://www.coursera.org/learn/infonomics-2	12.0	Accounting & Finance,Big Data,Business	27.0
Leveraging Design Methods to Identify Business Opportunities	0.0	Intermediate level	Flexible schedule	Understand the importance of design and the responsibilities of designers. Examine the expanding role of design and the tools helping it grow. Analyze how design frameworks can help you find opportunities and frame problem statements. Assess opportunities, experiences, and the use of a canvas.	Business Model Canvas, Portfolio Selection, Design And Product, Innovation, Design Thinking	Creative Problem Solving: Using Design as a Toolkit, Calling Skilled Practitioners: The Need as Opportunity Space Grows, Unpacking the Double Diamond Method, Validating an Opportunity	Terry Behan	Parsons School of Design, The New School	Business	https://www.coursera.org/learn/leveraging-design-methods-to-identify-business-opportunities	21.0	Design,Innovation,Business	0.0
Organic Marketing: Facebook Groups For Small Businesses	4.6	Intermediate level	Hands-on learning	Create A client profile & Develop an attractive Facebook account. Target and Leverage Facebook groups & their netiquette. Construct an action plan.	Social Media, organic marketing, Marketing, Facebook	Learn step-by-step	Lamia Labello	Coursera Project Network	Business	https://www.coursera.org/projects/organic-marketing-facebook-groups-for-small-businesses	2.0	Social Media,Marketing,Business	619.0
How to use influencer marketing to grow instagram business	0.0	Beginner level	Hands-on learning	Build your Instagram business profile. Use influencer marketing to grow your business. Connect with the right influencers.	Business, Social Media, Marketing, Instagram, Influencing	Learn step-by-step	Mo Rebaie	Coursera Project Network	Business	https://www.coursera.org/projects/how-to-use-influencer-marketing-to-grow-instagram-business	2.0	Social Media,Marketing	0.0
Business Application of Machine Learning and Artificial Intelligence in Healthcare	4.2	Intermediate level	Flexible schedule	Determine the factors involved in decision support that can improve business performance across the provider/payer ecosystem. Identify opportunities for business applications in healthcare by applying journey mapping and pain point analysis in a real world context. Identify differences in methods and techniques in order to appropriately apply to pain points using case studies. Critically assess the opportunities to leverage decision support in adapting to trends in the industry.	Predictive Analytics, Analytics, Decision Support System, Workflow	Decision Support and Use Cases, Predictive Modeling Basics, Consumerism and Operationalization, Advanced Topics in Operationalization	Craig Johnson	Northeastern University 	Business	https://www.coursera.org/learn/artificialintelligence-in-healthcare	12.0	Artificial Intelligence,Data Analytics,Business	62.0
Small Business Marketing Using Facebook	4.6	Not specified	Hands-on learning	Create a Facebook profile and a Facebook business pageLearn about the features of your new Facebook business pageLearn how to market your small business on social media and communicate with clients	Social Media Marketing, Small Business Marketing	Learn step-by-step	Julia Arteno	Coursera Project Network	Business	https://www.coursera.org/projects/facebook-small-business-marketing	1.0	Social Media,Marketing,Business	164.0
AI for Business: Generation & Prediction	0.0	Beginner level	Flexible schedule	Analyze the historical evolution of AI and Generative AI to promote critical thinking.  Differentiate between various generative AI models and identify their advantages across frameworks.Construct strategies for implementing generative AI applications in business environments and determine the best models for specific contexts.  Illustrate the advantages and benefits of implementing generative AI in practical business environments.	Restate the evolution of AI., Analyze the ethical implications of AI in business., Effectively evaluate AI applications in business.	AI For Business - Generation & Prediction	"""Kelley OConnell"""	Coursera Instructor Network	Business	https://www.coursera.org/learn/ai-for-business-generation-and-prediction	2.0	Artificial Intelligence,Business,Innovation	0.0
How to increase engagement to Instagram Business profile	0.0	Beginner level	Hands-on learning	Build a strong business profile on InstagramIncrease the engagement of followersLearn how to engage the market	Business, Social Media, Marketing, Instagram, community engagement	Learn step-by-step	Mo Rebaie	Coursera Project Network	Business	https://www.coursera.org/projects/how-to-increase-engagement-to-instagram-business-profile	2.0	Social Media,Marketing,Business	0.0
How to Create an Instagram Business Account	4.5	Beginner level	Hands-on learning	Understand how to create an Instagram Business account.	Instagram, Facebook	Learn step-by-step	Dr. Karl Michel	Coursera Project Network	Business	https://www.coursera.org/projects/how-create-instagram-business-account	2.0	Social Media,Marketing,Business	28.0
Digital Business Marketing with Easil	0.0	Beginner level	Hands-on learning	Modify a template to create an individual Facebook Cover. Apply graphic design skills to create a  simple business logo with Easil. Learn how to include and edit photos for your digital ads with Easil.	Business, Social Media, Marketing, Graphic Design	Learn step-by-step	Michelle Flores	Coursera Project Network	Business	https://www.coursera.org/projects/digital-business-marketing-easil	2.0	Technology,Design,Social Media	0.0
Launching Your Online Business: Strategies for Success	0.0	Beginner level	Flexible schedule	Develop a robust business plan tailored to the unique demands of online enterprises. Assess and choose the most suitable business model for their digital ventures. Implement pragmatic digital marketing tactics to augment visibility and drive sales. Proficiently handle essential online operations, including payment processing, shipping logistics, and customer service.  	Business Planning, Operations Management, E-Commerce, strategy, Digital Marketing	Launching Your Online Business: Strategies for Success	Hector Sandoval	Starweaver	Business	https://www.coursera.org/learn/launching-your-online-business-strategies-for-success	7.0	Business,Marketing	0.0
Create Successful Pinterest Pins for Business in Canva	0.0	Beginner level	Hands-on learning	Create Successful Pinterest Pins for Business. Pinterest Pins tips and  hacks , Convert static pin to video pinPreview, Share, Download and Publish pins	Canva, Marketing, Pinterest, Graphic Design	Learn step-by-step	Chaitra Deshpande	Coursera Project Network	Business	https://www.coursera.org/projects/create-successful-pinterest-pins-for-business-in-canva	1.0	Marketing,Business,Design	0.0
A Theoretical Origin of Ethics in Business and Tech Industry	0.0	Beginner level	Flexible schedule	Understand the origins of human morality.Understand the meaning of eusociality as it relates to human beings.Understand cultural effects on current business ethical decision making.Understand the effects of rapid technological advancement on ethics.	Ethics in Decision-Making and Leadership, Ethical Theories and Frameworks	The Human Condition and Where Do We Come From?, Eusociality and Social Evolution, What Are We and Where Are We Going? 	Daniel Moorer	University of Colorado Boulder	Business	https://www.coursera.org/learn/a-theoretical-origin-of-ethics-in-business-and-tech-industry	15.0	Ethics & Law,Technology,Business,Philosophy	0.0
Advertise and grow your business on Facebook with Canva	4.8	Intermediate level	Hands-on learning	Build a Facebook Cover with help of a Canva template. Edit a template in Canva to create a Facebook Ad. Create and design a Facebook post with Canva.	Advertising, Canva, Marketing, Facebook, Graphic Design	Learn step-by-step	Michelle Flores	Coursera Project Network	Business	https://www.coursera.org/projects/advertise-grow-business-facebook-canva	2.0	Advertisement,Business,Marketing,Design	17.0
Python for Data Science, AI & Development	4.6	Beginner level	Flexible schedule	Learn Python - the most popular programming language and for Data Science and Software Development. Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes. Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks. Access and web scrape data using APIs and Python libraries like Beautiful Soup. 	Data Science, Data Analysis, Python Programming, Numpy, Pandas	Python Basics , Python Data Structures , Python Programming Fundamentals , Working with Data in Python , APIs, and Data Collection	Joseph Santarcangelo	IBM	Computer Science	https://www.coursera.org/learn/python-for-applied-data-science-ai	26.0	Data Science,Big Data,Programming	34702.0
Introduction to Computer Science and Programming Specialization	4.2	Beginner level	Flexible schedule	1. Use the Javascript language to create interactive programs in the browser with 2D graphics. 2. Convert between number bases, work with modular arithmetic, sequences and series and plot graphs. 3. Develop and use mental models to describe the workings of a range of computer systems.	Computer Programming, Mathematics, Problem Solving, JavaScript, Computer Graphics (CG)	Introduction to Computer Programming , How Computers Work, Mathematics for Computer Science	Dr Matthew Yee-King, Dr Edward Anstead, Prof Marco Gillies, Dr Simon Katan, Omar Karakchi	University of London, Goldsmiths, University of London	Computer Science	https://www.coursera.org/specializations/introduction-computer-science-programming	80.0	Programming	1037.0
Google Data Analytics Professional Certificate	4.8	Beginner level	Flexible schedule	Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job. Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programming. Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms.	Data Analysis, Creating case studies, Data Visualization, Data Cleansing, Developing a portfolio, Data Collection, Spreadsheet, Metadata, SQL, Data Ethics, Data Aggregation, Data Calculations, R Markdown, R Programming, Rstudio, Tableau Software, Presentation, Data Integrity, Sample Size Determination, Decision-Making, Problem Solving, Questioning	Foundations: Data, Data, Everywhere, Ask Questions to Make Data-Driven Decisions, Prepare Data for Exploration, Process Data from Dirty to Clean, Analyze Data to Answer Questions, Share Data Through the Art of Visualization, Data Analysis with R Programming, Google Data Analytics Capstone: Complete a Case Study	Google Career Certificates	Google	Computer Science	https://www.coursera.org/professional-certificates/google-data-analytics	240.0	Big Data,Data Science,Programming,Database	130425.0
Google Cybersecurity Professional Certificate	4.8	Beginner level	Flexible schedule	Understand the importance of cybersecurity practices and their impact for organizations. Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them. Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools. Gain hands-on experience with Python, Linux, and SQL.	Python Programming, Security Information and Event Management (SIEM) tools, SQL, Linux, Intrusion Detection Systems (IDS)	Foundations of Cybersecurity, Play It Safe: Manage Security Risks, Connect and Protect: Networks and Network Security, Tools of the Trade: Linux and SQL, Assets, Threats, and Vulnerabilities, Sound the Alarm: Detection and Response, Automate Cybersecurity Tasks with Python, Put It to Work: Prepare for Cybersecurity Jobs	Google Career Certificates	Google	Computer Science	https://www.coursera.org/professional-certificates/google-cybersecurity	168.0	Cybersecurity	17333.0
IBM Full Stack Software Developer Professional Certificate	4.5	Beginner level	Flexible schedule	Master the most up-to-date practical skills and tools that full stack developers use in their daily roles. Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless. Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap. Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone.	Git (Software), Cloud Applications, HTML, Cloud Computing, Distributed Version Control (DRCS), open source, JavaScript, Hybrid Multicloud, Devops, Cascading Style Sheets (CSS), Iaas PaaS Saas, Cloud Native	Introduction to Cloud Computing, Introduction to Web Development with HTML, CSS, JavaScript, Getting Started with Git and GitHub, Developing Front-End Apps with React, Developing Back-End Apps with Node.js and Express, Python for Data Science, AI & Development, Developing AI Applications with Python and Flask, Django Application Development with SQL and Databases, Introduction to Containers w/ Docker, Kubernetes & OpenShift, Application Development using Microservices and Serverless , Full Stack Cloud Development Capstone Project, Full Stack Software Developer Assessment	Michelle Saltoun, Alex Parker, IBM Skills Network Team, Abhishek Gagneja, Yan Luo, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Sachin Jambur, Lavanya Thiruvali Sunderarajan, Ramesh Sannareddy	IBM	Computer Science	https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer	160.0	Software Development,Web Development,Cloud Technology	5163.0
Crash Course on Python	4.8	Beginner level	Flexible schedule	Understand what Python is and why Python is relevant to automation. Write short Python scripts to perform automated actions. Understand how to use the basic Python structures: strings, lists, and dictionaries. Create your own Python objects.	Python Programming, Basic Python Syntax, Basic Python Data Structures, Object-Oriented Programming (OOP), Fundamental Programming Concepts	Hello Python!, Basic Python Syntax, Loops, Strings, Lists and Dictionaries, Final Project	Google Career Certificates	Google	Computer Science	https://www.coursera.org/learn/python-crash-course	39.0	Programming	35221.0
Google IT Support Professional Certificate	4.8	Beginner level	Flexible schedule	Gain skills required to succeed in an entry-level IT jobLearn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service. Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging. Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code.	Customer Service, Network Protocols, Cloud Computing, Encryption Algorithms and Techniques, Debugging	Technical Support Fundamentals, The Bits and Bytes of Computer Networking, Operating Systems and You: Becoming a Power User,  System Administration and IT Infrastructure Services,  IT Security: Defense against the digital dark arts 	Google Career Certificates	Google	Computer Science	https://www.coursera.org/professional-certificates/google-it-support	240.0	Network	170527.0
IBM Data Science Professional Certificate	4.6	Beginner level	Flexible schedule	Master the most up-to-date practical skills and knowledge that data scientists use in their daily rolesLearn the tools, languages, and libraries used by professional data scientists, including Python and SQL. Import and clean data sets, analyze and visualize data, and build machine learning models and pipelines. Apply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers.	Data Science, Big Data, Python Programming, Github, Machine Learning, Deep Learning, Methodology, SQL, Rstudio, Data Mining, Jupyter notebooks	What is Data Science? , Tools for Data Science, Data Science Methodology, Python for Data Science, AI & Development, Python Project for Data Science, Databases and SQL for Data Science with Python, Data Analysis with Python, Data Visualization with Python, Machine Learning with Python, Applied Data Science Capstone	Dr. Pooja, Yan Luo, Svetlana Levitan, SAEED AGHABOZORGI, Hima Vasudevan, Joseph Santarcangelo, Polong Lin, Romeo Kienzler, Rav Ahuja, Aije Egwaikhide, Alex Aklson, Saishruthi Swaminathan, Azim Hirjani	IBM	Computer Science	https://www.coursera.org/professional-certificates/ibm-data-science	200.0	Data Science,Big Data,Programming,Database	68453.0
Meta Front-End Developer Professional Certificate	4.7	Beginner level	Flexible schedule	Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. Learn to use React in relation to Javascript libraries and frameworks. Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control. Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.	HTML, UI/UX design, JavaScript, Cascading Style Sheets (CSS), React	Introduction to Front-End Development, Programming with JavaScript, Version Control, HTML and CSS in depth, React Basics, Advanced React, Principles of UX/UI Design, Front-End Developer Capstone , Coding Interview Preparation	Taught by Meta Staff	Meta	Computer Science	https://www.coursera.org/professional-certificates/meta-front-end-developer	168.0	UX/UI,Web Development	14351.0
